County	Radon_Level	Basement
Blue_Earth	5.0	TRUE
Blue_Earth	13.0	TRUE
Blue_Earth	7.2	TRUE
Blue_Earth	6.8	TRUE
Blue_Earth	12.8	TRUE
Blue_Earth	5.8	FALSE
Blue_Earth	9.5	TRUE
Blue_Earth	6.0	TRUE
Blue_Earth	3.8	TRUE
Blue_Earth	14.3	FALSE
Blue_Earth	1.8	TRUE
Blue_Earth	6.9	TRUE
Blue_Earth	4.7	TRUE
Blue_Earth	9.5	TRUE
Clay	0.9	FALSE
Clay	12.9	TRUE
Clay	2.6	TRUE
Clay	3.5	FALSE
Clay	26.6	TRUE
Clay	1.5	TRUE
Clay	13.0	TRUE
Clay	8.8	TRUE
Clay	19.5	TRUE
Clay	2.5	FALSE
Clay	9.0	TRUE
Clay	13.1	TRUE
Clay	3.6	TRUE
Clay	6.9	FALSE
Goodhue	14.3	TRUE
Goodhue	6.9	FALSE
Goodhue	7.6	TRUE
Goodhue	9.8	FALSE
Goodhue	2.6	TRUE
Goodhue	43.5	TRUE
Goodhue	4.9	TRUE
Goodhue	3.5	TRUE
Goodhue	4.8	TRUE
Goodhue	5.6	TRUE
Goodhue	3.5	TRUE
Goodhue	3.9	TRUE
Goodhue	6.7	TRUE
